score,occurrences
-13,1
-12,0
-11,1
-10,1
 -9,2
 -8,2
 -7,5
 -6,13
 -5,22
 -4,27
 -3,57
 -2,137
 -1,1935
  0,1374164
  1,369619
  2,118349
  3,42484
  4,16145
  5,7062
  6,3352
  7,1563
  8,728
  9,379
 10,230
 11,114
 12,84
 13,52
 14,40
 15,25
 16,729
 17,56
 18,31
 19,4
 20,2
 21,2
 22,5
 23,0
 24,1
 25,0
 26,1
 27,1
 28,0
 29,0
 30,1
 31,2
 32,0
 33,0
 34,0
 35,1
 36,0
 37,1
 38,0
 39,0
 40,0
 41,0
 42,0
 43,0
 44,0
 45,0
 46,1
 47,0
 48,0
 49,0
 50,0
 51,0
 52,0
 53,0
 54,0
 55,0
 56,0
 57,0
 58,0
 59,0
 60,0
 61,0
 62,0
 63,0
 64,0
 65,0
 66,0
 67,0
 68,0
 69,0
 70,0
 71,0
 72,0
 73,0
 74,0
 75,0
 76,0
 77,0
 78,0
 79,0
 80,0
 81,0
 82,0
 83,0
 84,0
 85,0
 86,0
 87,0
 88,0
 89,0
 90,0
 91,0
 92,0
 93,0
 94,0
 95,0
 96,0
 97,0
 98,0
 99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,1
